# Please attribute to @zetalytics or https://zetalytics.com
# Raw un-analyzed first seen host data
# Make your own assessment of malicious activity or intent
# dname_first_ts,qname,value,geoip.country_iso_code,geoip.continent_name
2020-10-09,covid19testingpuertorico.com,covid19testingpuertorico.com,,
2020-10-09,covid19testingpuertorico.com,ns53.worldnic.com,,
2020-10-09,covid19testingpuertorico.com,ns54.worldnic.com,,
2020-10-09,covid19tests.site,covid19tests.site,,
2020-10-09,covid19tests.site,ns75.domaincontrol.com,,
2020-10-09,covid19tests.site,ns76.domaincontrol.com,,
2020-10-09,covid2-test.de,covid2-test.de,,
2020-10-09,covidsupersneltest.com,2a05:d014:953:a00:6874:7470:7270:3,DE,Europe
2020-10-09,covidsupersneltest.com,covidsupersneltest.com,,
2020-10-09,covidtest-alyan.com,covidtest-alyan.com,,
2020-10-09,covidtest-alyan.com,dns47.servidoresdns.net,,
2020-10-09,covidtest-alyan.com,dns48.servidoresdns.net,,
2020-10-09,covidtestnederland.nl,covidtestnederland.nl,,
2020-10-09,covidtestnederland.nl,ns1.yourwebhoster.com,,
2020-10-09,covidtestnederland.nl,ns2.yourwebhoster.com,,
2020-10-09,covidtestnederland.nl,ns3.yourwebhoster.nl,,
2020-10-09,covidtestnederland.nl,ns4.yourwebhoster.nl,,
2020-10-09,covidtestokc.com,198.58.118.167,US,North America
2020-10-09,covidtestokc.com,45.33.23.183,US,North America
2020-10-09,covidtestokc.com,45.33.2.79,US,North America
2020-10-09,covidtestokc.com,45.56.79.23,US,North America
2020-10-09,covidtestokc.com,45.79.19.196,US,North America
2020-10-09,covidtestokc.com,96.126.123.244,US,North America
2020-10-09,covidtestokc.com,covidtestokc.com,,
2020-10-09,covidtestokc.com,mail.mailerhost.net,,
2020-10-09,covidtestokc.com,mail.mxproc.com,,
2020-10-09,covidtestokc.com,ns1.mytrafficmanagement.com,,
2020-10-09,covidtestokc.com,ns2.mytrafficmanagement.com,,
2020-10-09,covidtestsb.co,198.58.118.167,US,North America
2020-10-09,covidtestsb.co,45.33.23.183,US,North America
2020-10-09,covidtestsb.co,45.33.2.79,US,North America
2020-10-09,covidtestsb.co,45.56.79.23,US,North America
2020-10-09,covidtestsb.co,45.79.19.196,US,North America
2020-10-09,covidtestsb.co,96.126.123.244,US,North America
2020-10-09,covidtestsb.co,covidtestsb.co,,
2020-10-09,covidtestsb.co,mail.mailerhost.net,,
2020-10-09,covidtestsb.co,mail.mxproc.com,,
2020-10-09,easyrapidcovidtestkit.com,easyrapidcovidtestkit.com,,
2020-10-09,easyrapidcovidtestkit.com,ns53.domaincontrol.com,,
2020-10-09,easyrapidcovidtestkit.com,ns54.domaincontrol.com,,
2020-10-09,longcovidcure.com,longcovidcure.com,,
2020-10-09,longcovidcure.com,ns55.domaincontrol.com,,
2020-10-09,longcovidcure.com,ns56.domaincontrol.com,,
2020-10-09,longcovidtest.com,34.102.136.180,US,North America
2020-10-09,longcovidtest.com,longcovidtest.com,,
2020-10-09,mail.rapidcovid19-testing.com,149.255.62.6,GB,Europe
2020-10-09,mail.rapidcovid19-testing.com,rapidcovid19-testing.com,,
2020-10-09,ontariocovidtests.com,ns17.domaincontrol.com,,
2020-10-09,ontariocovidtests.com,ns18.domaincontrol.com,,
2020-10-09,ontariocovidtests.com,ontariocovidtests.com,,
2020-10-09,puertoricocovid19testing.com,ns55.worldnic.com,,
2020-10-09,puertoricocovid19testing.com,ns56.worldnic.com,,
2020-10-09,puertoricocovid19testing.com,puertoricocovid19testing.com,,
2020-10-09,rapidcovid19-testing.com,149.255.62.6,GB,Europe
2020-10-09,rapidcovid19-testing.com,ns15.domaincontrol.com,,
2020-10-09,rapidcovid19-testing.com,ns16.domaincontrol.com,,
2020-10-09,rapidcovid19-testing.com,rapidcovid19-testing.com,,
2020-10-09,rapidcovid-19tests.com,ns55.domaincontrol.com,,
2020-10-09,rapidcovid-19tests.com,ns56.domaincontrol.com,,
2020-10-09,rapidcovid-19tests.com,rapidcovid-19tests.com,,
2020-10-09,rapidmobilecovidtest.com,160.153.136.3,US,North America
2020-10-09,rapidmobilecovidtest.com,rapidmobilecovidtest.com,,
2020-10-09,rockwallrapidcovid-19testing.com,ns-cloud-b1.googledomains.com,,
2020-10-09,rockwallrapidcovid-19testing.com,ns-cloud-b2.googledomains.com,,
2020-10-09,rockwallrapidcovid-19testing.com,ns-cloud-b3.googledomains.com,,
2020-10-09,rockwallrapidcovid-19testing.com,ns-cloud-b4.googledomains.com,,
2020-10-09,rockwallrapidcovid-19testing.com,rockwallrapidcovid-19testing.com,,
2020-10-09,www.rapidcovid19-testing.com,149.255.62.6,GB,Europe
2020-10-09,www.rapidcovid19-testing.com,rapidcovid19-testing.com,,
2020-10-09,zekmedcovidtest.com,198.185.159.144,US,North America
2020-10-09,zekmedcovidtest.com,198.185.159.145,US,North America
2020-10-09,zekmedcovidtest.com,198.49.23.144,US,North America
2020-10-09,zekmedcovidtest.com,198.49.23.145,US,North America
2020-10-09,zekmedcovidtest.com,zekmedcovidtest.com,,
